RA_degrees,DEC_degrees,Z,Distance_Mpc,r_mag_abs,gminusi
153.29780825936174,52.86209630429503,0.09181399,393.2157055054392,-20.499905,1.044096
152.02393660084857,53.481638158097354,0.093875684,402.04541444267545,-21.730383,0.8127403
152.9314177941502,52.781279878576825,0.056698103,242.82339351262365,-21.089674,0.8587189
152.6374580500381,52.414366915533535,0.048364207,207.13146270683833,-20.696129,0.89190674
151.61978304089885,53.7197614381538,0.09212604,394.55214683668953,-20.906878,1.0944366
151.66405543236502,53.347070329324126,0.09459051,405.1068201252392,-21.140818,1.050993
151.48853702551247,53.605798679046615,0.0911416,390.3360211270196,-21.071814,1.0622177
151.87009019403217,52.71467719834113,0.09089493,389.2796124850001,-20.771421,0.86862373
152.0117602214673,52.894002803776516,0.09569172,409.8230224422046,-21.634142,0.9807396
152.07965195081175,52.515695789282695,0.052407727,224.4488169499806,-21.615784,1.1642685
151.92572059187464,52.68518637597393,0.09099169,389.6940136398588,-20.840117,0.7810898
152.1022608069856,52.51736361506856,0.052414015,224.47574807916368,-20.975542,1.0877075
151.73511920679027,52.71996568090671,0.033676896,144.22948684096338,-20.523157,1.0561924
151.35812790318022,53.2501023808841,0.09151732,391.94515609570914,-20.80914,1.060566
151.40007853174438,53.259900722649846,0.05215385,223.36153642705509,-21.557013,1.0744972
151.36424712315292,52.947422916567795,0.09143605,391.5970935872623,-22.434126,1.1920681
151.4213605744419,52.37341343023197,0.09030818,386.7667211515563,-21.199654,1.1910267
151.24443029017246,52.858852562130714,0.09196193,393.8492890375001,-21.059061,1.1538715
151.30186723069195,52.76416680604925,0.095424384,408.67809845379423,-21.1246,1.0845985
151.52680906220897,52.878391915412315,0.095452994,408.8006287097931,-21.609255,1.0597744
151.1602477530742,52.92309779704868,0.04143326,177.44799764837538,-20.862192,0.77750206
151.31326827042395,53.37858722301144,0.094413005,404.34662199531283,-20.774137,1.0880909
151.04744524662803,52.971686284559496,0.09033377,386.87629638569695,-21.421043,1.1351051
150.94631155289233,51.58117698603683,0.090733625,388.5887843489647,-21.617023,0.7578678
151.33548247666764,51.23767233282944,0.08972794,384.28168630599976,-21.535982,1.189928
151.1326376264505,51.993954896947145,0.02320914,99.39877729075296,-21.016777,0.94597435
151.19478778453674,52.24650916523574,0.09035813,386.980638556821,-21.66741,1.2303562
151.40883318746972,52.093840987947175,0.054145463,231.8910941004753,-20.515945,1.0795269
152.1535100752643,51.352924978881674,0.055792168,238.9435080562319,-21.223787,0.9854183
152.30730614699004,51.41710817354716,0.052368294,224.27993898647173,-21.20615,1.1623459
151.7513270617689,52.10190279369861,0.052708484,225.73688435724804,-21.817308,1.2259502
151.78646380287643,52.27814885328676,0.09075076,388.66217486688066,-22.26254,1.2574978
156.0567520733477,52.477506771964826,0.0990028,424.0035383139338,-20.674898,1.135807
156.17658842723569,52.428984157671046,0.09854905,422.06025312628066,-21.574099,0.9890022
156.08720002197938,52.41836048058575,0.094375096,404.1842694061143,-20.972815,0.9898071
156.39560966863158,52.16093137588786,0.041849583,179.23100432668414,-20.40496,1.184761
155.9314409163837,52.15437316103593,0.09201477,394.07558710404805,-21.507025,1.0808735
154.99748738315324,52.73105232723799,0.095430434,408.70400849751064,-21.473572,1.0923424
154.97464784241888,52.40383222011438,0.09956876,426.4274037582534,-21.365738,1.0186043
155.11042366775777,52.44472824528027,0.0467026,200.01523090941566,-20.90244,0.9972286
155.49062098138882,51.84637378387887,0.092695236,396.98986075265066,-20.934177,1.2565231
155.68443600774768,51.534649046477846,0.08739318,374.2825154202325,-20.5839,0.99235535
155.67304833497445,51.548426654428305,0.08826946,378.03538741724833,-21.003344,0.997839
155.8865162588236,51.928438831025076,0.08631168,369.65074410779135,-21.856728,1.0973511
155.7876350271668,52.17936689080297,0.094332874,404.00344155175344,-21.173101,1.1233845
154.93702307116448,52.52272126135471,0.0931635,398.9953045180866,-20.76076,0.8985634
154.86792719323995,52.590176879831816,0.04741363,203.060378996815,-20.45402,1.0298195
154.92596129816113,52.53536461652596,0.09285168,397.6598842723029,-20.649145,0.919899
